posicion,temperatura
0.0,952.82655
0.09798994975,958.486326
0.1959798995,958.0550011
0.2939698492,958.0007029
0.391959799,958.2321855
0.4899497487,958.003954
0.5879396985,957.7959668
0.6859296482,957.5638357
0.783919598,956.4300644
0.8819095477,957.4092963
0.9798994975,954.9462114
1.077889447,956.2137812
1.175879397,954.7109557
1.273869347,957.0398731
1.371859296,956.9734603
1.469849246,958.9309043
1.567839196,959.1231524
1.665829146,960.8550998
1.763819095,961.2723322
1.861809045,962.3880006
1.959798995,962.7376529
2.057788945,963.6448388
2.155778894,964.6107407
2.253768844,965.2266982
2.351758794,965.9853572
2.449748744,965.918655
2.547738693,966.2639253
2.645728643,965.7066786
2.743718593,966.7691815
2.841708543,966.0559943
2.939698492,969.1506212
3.037688442,967.8254181
3.135678392,971.7032278
3.233668342,969.7442441
3.331658291,973.7835584
3.429648241,971.4288631
3.527638191,974.976227
3.625628141,973.0973696
3.72361809,976.9798458
3.82160804,974.9359382
3.91959799,978.840474
4.01758794,975.5190615
4.115577889,978.2635866
4.213567839,975.5669188
4.311557789,978.0905797
4.409547739,975.5992707
4.507537688,978.6543308
4.605527638,977.0331303
4.703517588,979.3169828
4.801507538,978.0768148
4.899497487,979.7210842
4.997487437,978.9814971
5.095477387,979.5635633
5.193467337,980.0673595
5.291457286,979.9222297
5.389447236,981.2949711
5.487437186,980.3610291
5.585427136,981.280755
5.683417085,980.0427055
5.781407035,981.327706
5.879396985,979.2437199
5.977386935,981.3758898
6.075376884,979.3784114
6.173366834,981.7380608
6.271356784,979.365677
6.369346734,981.6447752
6.467336683,979.2899887
6.565326633,981.2389749
6.663316583,979.668939
6.761306533,981.1826105
6.859296482,979.9523447
6.957286432,981.3888545
7.055276382,980.0838843
7.153266332,980.6239458
7.251256281,980.1960622
7.349246231,980.1528177
7.447236181,980.5965056
7.545226131,979.9955294
7.64321608,981.3206691
7.74120603,979.8569821
7.83919598,981.110698
7.93718593,979.5023633
8.035175879,981.0344219
8.133165829,978.9611649
8.231155779,981.2963725
8.329145729,978.8914388
8.427135678,981.2397414
8.525125628,978.8214369
8.623115578,980.7951294
8.721105528,978.5845541
8.819095477,980.6559511
8.917085427,979.3256468
9.015075377,980.517915
9.113065327,979.6627339
9.211055276,980.6282984
9.309045226,979.7321486
9.407035176,979.8897703
9.505025126,980.0294492
9.603015075,979.296349
9.701005025,980.745658
9.798994975,979.0920837
9.896984925,980.4282115
9.994974874,978.7778677
10.09296482,980.3543877
10.19095477,977.998446
10.28894472,980.3184089
10.38693467,978.2098889
10.48492462,980.4867677
10.58291457,978.1635102
10.68090452,980.5964972
10.77889447,978.1420887
10.87688442,980.0186757
10.97487437,978.7575407
11.07286432,979.8036172
11.17085427,979.0502758
11.26884422,979.8974713
11.36683417,979.1453047
11.46482412,979.0660353
11.56281407,979.3043649
11.66080402,978.59633
11.75879397,977.8382566
11.85678392,978.3593515
11.95477387,978.5284387
12.05276382,978.1359963
12.15075377,978.8425859
12.24874372,977.8540965
12.34673367,978.8476562
12.44472362,977.1158635
12.54271357,979.05872
12.64070352,977.193018
12.73869347,979.5559384
12.83668342,978.2707327
12.93467337,979.520808
13.03266332,978.0227233
13.13065327,978.9127674
13.22864322,977.4467956
13.32663317,978.0664775
13.42462312,977.5307881
13.52261307,978.2462548
13.62060302,977.3938906
13.71859296,978.6539524
13.81658291,977.2925044
13.91457286,978.1010797
14.01256281,976.8840657
14.11055276,978.0302512
14.20854271,977.1066145
14.30653266,978.3124913
14.40452261,977.1095856
14.50251256,978.6858852
14.60050251,976.9503661
14.69849246,978.215625
14.79648241,976.6921533
14.89447236,978.1667191
14.99246231,976.5067781
15.09045226,978.2190873
15.18844221,976.4241523
15.28643216,978.7378848
15.38442211,976.2740957
15.48241206,977.8815035
15.58040201,976.0162663
15.67839196,977.4877715
15.77638191,975.4314641
15.87437186,976.9441782
15.97236181,975.5422647
16.07035176,977.8608833
16.16834171,975.223441
16.26633166,977.1670014
16.36432161,974.8565622
16.46231156,975.8774739
16.56030151,975.0063653
16.65829146,975.3981918
16.75628141,975.2378906
16.85427136,975.0324457
16.95226131,974.9130592
17.05025126,974.3073825
17.14824121,974.5682767
17.24623116,973.1392858
17.34422111,974.1883586
17.44221106,972.5265112
17.54020101,974.6074376
17.63819095,971.8255773
17.7361809,973.5000518
17.83417085,971.1208945
17.9321608,972.7429269
18.03015075,970.6796305
18.1281407,972.2831769
18.22613065,970.8103079
18.3241206,972.8578035
18.42211055,971.2954421
18.5201005,972.4931555
18.61809045,971.71248
18.7160804,972.5015236
18.81407035,972.1637608
18.9120603,972.4159947
19.01005025,972.7403116
19.1080402,972.2824527
19.20603015,972.4720892
19.3040201,971.4291912
19.40201005,971.8992693
19.5,965.5418468
