posicion,temperatura
0.0,1012.295836
0.09798994975,1017.033629
0.1959798995,1014.4546
0.2939698492,1010.060315
0.391959799,1007.676031
0.4899497487,1001.365942
0.5879396985,998.9619729
0.6859296482,996.4302823
0.783919598,998.7321495
0.8819095477,996.5486011
0.9798994975,996.4454364
1.077889447,996.0274829
1.175879397,993.0054113
1.273869347,993.2020293
1.371859296,990.1857408
1.469849246,989.5576606
1.567839196,989.0671834
1.665829146,986.1157966
1.763819095,985.418198
1.861809045,976.78613
1.959798995,975.4525372
2.057788945,968.0593104
2.155778894,965.2301076
2.253768844,965.3294393
2.351758794,964.1459816
2.449748744,967.6672217
2.547738693,968.1138062
2.645728643,969.9739743
2.743718593,968.4069358
2.841708543,966.317053
2.939698492,968.1668837
3.037688442,965.0543775
3.135678392,967.7598489
3.233668342,967.4991522
3.331658291,965.0672407
3.429648241,963.7976047
3.527638191,959.1437238
3.625628141,958.9864203
3.72361809,957.0951706
3.82160804,960.2202352
3.91959799,962.311661
4.01758794,965.2480833
4.115577889,972.9891586
4.213567839,973.532867
4.311557789,975.0200913
4.409547739,975.876964
4.507537688,976.1763405
4.605527638,979.9577071
4.703517588,976.1173173
4.801507538,979.6232525
4.899497487,976.1344616
4.997487437,977.6143858
5.095477387,974.9316446
5.193467337,971.1992392
5.291457286,974.1928976
5.389447236,974.8333295
5.487437186,978.3117262
5.585427136,981.5002227
5.683417085,987.0467413
5.781407035,994.4898019
5.879396985,994.0546668
5.977386935,998.9252068
6.075376884,999.5652353
6.173366834,1004.688239
6.271356784,1005.463413
6.369346734,1004.254299
6.467336683,1006.181705
6.565326633,1005.685565
6.663316583,1007.299403
6.761306533,1004.458911
6.859296482,1003.794453
6.957286432,1006.934443
7.055276382,1006.857956
7.153266332,1011.274634
7.251256281,1013.965508
7.349246231,1017.645099
7.447236181,1019.892075
7.545226131,1018.233329
7.64321608,1021.999448
7.74120603,1020.90329
7.83919598,1024.902788
7.93718593,1020.926078
8.035175879,1020.77577
8.133165829,1022.976419
8.231155779,1019.282729
8.329145729,1017.72519
8.427135678,1015.123714
8.525125628,1013.565947
8.623115578,1016.322262
8.721105528,1014.207419
8.819095477,1017.050242
8.917085427,1016.909021
9.015075377,1018.859143
9.113065327,1019.983635
9.211055276,1018.82558
9.309045226,1022.772644
9.407035176,1024.094155
9.505025126,1024.038889
9.603015075,1028.125843
9.701005025,1026.129693
9.798994975,1027.987832
9.896984925,1025.10006
9.994974874,1023.332403
10.09296482,1021.243759
10.19095477,1017.053175
10.28894472,1018.343366
10.38693467,1015.939914
10.48492462,1014.738795
10.58291457,1013.354737
10.68090452,1010.626469
10.77889447,1012.894623
10.87688442,1010.899886
10.97487437,1011.419166
11.07286432,1013.771215
11.17085427,1014.276225
11.26884422,1017.217492
11.36683417,1015.617109
11.46482412,1014.915737
11.56281407,1014.586194
11.66080402,1011.867329
11.75879397,1010.593016
11.85678392,1008.292264
11.95477387,1009.101249
12.05276382,1007.197399
12.15075377,1005.534495
12.24874372,1007.102928
12.34673367,1007.656474
12.44472362,1008.782935
12.54271357,1008.549229
12.64070352,1011.656117
12.73869347,1012.995164
12.83668342,1014.881431
12.93467337,1015.803151
13.03266332,1017.100624
13.13065327,1018.761477
13.22864322,1019.251038
13.32663317,1019.648111
13.42462312,1018.279315
13.52261307,1017.823262
13.62060302,1018.324309
13.71859296,1016.238216
13.81658291,1017.057348
13.91457286,1016.622558
14.01256281,1018.86075
14.11055276,1017.49719
14.20854271,1017.09847
14.30653266,1017.805903
14.40452261,1017.601014
14.50251256,1018.379658
14.60050251,1019.152206
14.69849246,1017.56648
14.79648241,1020.477676
14.89447236,1020.680659
14.99246231,1019.362271
15.09045226,1017.094305
15.18844221,1017.287957
15.28643216,1017.639855
15.38442211,1014.317581
15.48241206,1016.458349
15.58040201,1018.637019
15.67839196,1019.902082
15.77638191,1021.910529
15.87437186,1021.60365
15.97236181,1025.276218
16.07035176,1026.951342
16.16834171,1028.342973
16.26633166,1026.985542
16.36432161,1027.162345
16.46231156,1026.900975
16.56030151,1020.726579
16.65829146,1017.875126
16.75628141,1011.736226
16.85427136,1008.244193
16.95226131,1002.114455
17.05025126,998.7862437
17.14824121,995.9145631
17.24623116,993.487732
17.34422111,992.7907748
17.44221106,990.3902668
17.54020101,991.3451734
17.63819095,992.0324422
17.7361809,989.1209644
17.83417085,988.3305643
17.9321608,984.7507947
18.03015075,980.1907785
18.1281407,977.530336
18.22613065,971.0839648
18.3241206,966.9196967
18.42211055,959.8856802
18.5201005,954.0002994
18.61809045,950.1647616
18.7160804,942.7987549
18.81407035,943.9668379
18.9120603,940.0630262
19.01005025,940.7547284
19.1080402,941.5281077
19.20603015,937.8754666
19.3040201,941.795234
19.40201005,937.9517086
19.5,935.2853744
