,bulto,long_punta,long_cola,diametro,hilo,material,calidad
0,6320249,19.4454,18.6727,17.0,1,WAR1124170L000,resulfurado_Pb
1,6320251,19.3264,18.695,17.0,1,WAR1124170L000,resulfurado_Pb
2,6320253,19.3431,18.6611,17.0,1,WAR1124170L000,resulfurado_Pb
3,6320255,19.415,18.7033,17.0,1,WAR1124170L000,resulfurado_Pb
4,6320257,19.2936,18.7031,17.0,1,WAR1124170L000,resulfurado_Pb
5,6320259,19.2534,18.6679,17.0,1,WAR1124170L000,resulfurado_Pb
6,6320261,19.5337,18.6539,17.0,1,WAR1124170L000,resulfurado_Pb
7,6320263,19.249,18.6993,17.0,1,WAR1124170L000,resulfurado_Pb
8,6320265,19.2068,18.6683,17.0,1,WAR1124170L000,resulfurado_Pb
9,6320267,19.2713,18.6985,17.0,1,WAR1124170L000,resulfurado_Pb
10,6320269,19.3667,18.7071,17.0,1,WAR1124170L000,resulfurado_Pb
11,6320271,19.2555,18.6529,17.0,1,WAR1124170L000,resulfurado_Pb
12,6320273,19.3888,18.6519,17.0,1,WAR1124170L000,resulfurado_Pb
13,6320275,19.4707,18.7054,17.0,1,WAR1124170L000,resulfurado_Pb
14,6320277,19.3281,18.6988,17.0,1,WAR12G0170L000,resulfurado_Pb
15,6320279,19.3991,18.709,17.0,1,WAR12G0170L000,resulfurado_Pb
16,6320281,19.4537,18.6671,17.0,1,WAR12G0170L000,resulfurado_Pb
17,6320283,19.5101,18.6681,17.0,1,WAR12G0170L000,resulfurado_Pb
18,6320285,19.404,18.6778,17.0,1,WAR12G0170L000,resulfurado_Pb
