,bulto,long_punta,long_cola,diametro,hilo,material,calidad
0,6329507,19.4295,18.9048,12.0,2,WAN81RB120L000,microaleado
1,6329509,19.4355,18.9509,12.0,2,WAN81RB120L000,microaleado
2,6329511,19.444,18.9438,12.0,2,WAN81RB120L000,microaleado
3,6329513,19.6358,18.956,12.0,2,WAN81RB120L000,microaleado
4,6329515,19.6333,18.9642,12.0,2,WAN81RB120L000,microaleado
5,6329517,19.4463,18.933,12.0,2,WAN81RB120L000,microaleado
6,6329519,19.4949,18.9359,12.0,2,WAN81RB120L000,microaleado
7,6329521,19.5501,18.9671,12.0,2,WAN81RB120L000,microaleado
8,6329523,19.4408,18.9309,12.0,2,WAN81RB120L000,microaleado
9,6329525,19.641,18.9391,12.0,2,WAN81RB120L000,microaleado
10,6329527,19.5812,18.9303,12.0,2,WAN81RB120L000,microaleado
11,6329529,19.598,18.8936,12.0,2,WAN81RB120L000,microaleado
12,6329531,19.3277,18.9466,12.0,2,WAN81RB120L000,microaleado
13,6329533,19.5319,18.9418,12.0,2,WAN81RB120L000,microaleado
14,6329535,19.5406,18.944,12.0,2,WAN81RB120L000,microaleado
15,6329537,19.317,18.9468,12.0,2,WAN81RB120L000,microaleado
16,6329539,19.3846,18.9452,12.0,2,WAN81RB120L000,microaleado
17,6329541,19.4015,18.8995,12.0,2,WAN81RB120L000,microaleado
18,6329543,19.3765,18.9483,12.0,2,WAN81RB120L000,microaleado
19,6329545,19.5128,18.9063,12.0,2,WAN81RB120L000,microaleado
20,6329547,19.4436,18.9375,12.0,2,WAN81RB120L000,microaleado
