,bulto,long_punta,long_cola,diametro,hilo,material,calidad
0,6211285,19.0722,18.6042,44.0,1,WAC1576440L000,F1_calibradores
1,6211286,19.1904,18.8125,44.0,1,WAC1576440L000,F1_calibradores
2,6211287,19.2169,18.7435,44.0,1,WAC1576440L000,F1_calibradores
3,6211288,19.2096,18.7542,44.0,1,WAC1576440L000,F1_calibradores
4,6211289,19.0599,18.798,44.0,1,WAC1576440L000,F1_calibradores
5,6211290,19.1721,18.8798,44.0,1,WAC1576440L000,F1_calibradores
6,6211291,19.1231,18.7783,44.0,1,WAC1576440L000,F1_calibradores
7,6211292,18.9804,18.7357,44.0,1,WAC1576440L000,F1_calibradores
8,6211293,19.1809,18.8052,44.0,1,WAZ1806440L000,mallazo
9,6211294,19.1514,18.7232,44.0,1,WAC2018440L000,F1_calibradores
10,6211295,19.1247,18.746,44.0,1,WAC2018440L000,F1_calibradores
