,bulto,long_punta,long_cola,diametro,hilo,material,calidad
0,6221763,19.19,18.7985,34.0,1,WAY2310340L000,sgdas_alambron_suave
1,6221764,19.2698,18.8471,34.0,1,WAY2310340L000,sgdas_alambron_suave
2,6221765,19.0847,18.8816,34.0,1,WAY2310340L000,sgdas_alambron_suave
3,6221766,19.1283,18.8968,34.0,1,WAY2310340L000,sgdas_alambron_suave
4,6221767,19.2832,18.8792,34.0,1,WAY2310340L000,sgdas_alambron_suave
5,6221768,19.2718,18.9167,34.0,1,WAY2310340L000,sgdas_alambron_suave
6,6221769,19.1542,18.8498,34.0,1,WAY2310340L000,sgdas_alambron_suave
7,6221770,19.0914,18.8380,34.0,1,WAY2310340L000,sgdas_alambron_suave
8,6221771,19.1731,18.8823,34.0,1,WAY2310340L000,sgdas_alambron_suave
9,6221772,19.1619,18.8779,34.0,1,WAY2310340L000,sgdas_alambron_suave
10,6221773,19.2549,18.8751,34.0,1,WAY2310340L000,sgdas_alambron_suave
11,6221774,19.2163,18.8680,34.0,1,WAY2310340L000,sgdas_alambron_suave
12,6221776,19.1948,18.8715,34.0,1,WAY2310340L000,sgdas_alambron_suave
13,6221777,19.0486,18.8146,34.0,1,WAY2310340L000,sgdas_alambron_suave
14,6221778,19.1226,18.8577,34.0,1,WAY2310340L000,sgdas_alambron_suave
15,6221779,19.0138,18.8633,34.0,1,WAY2310340L000,sgdas_alambron_suave
16,6221780,19.2184,18.9123,34.0,1,WAY2310340L000,sgdas_alambron_suave
17,6221781,18.9909,18.8579,34.0,1,WAY2310340L000,sgdas_alambron_suave
18,6221782,19.07,18.8520,34.0,1,WAY2310340L000,sgdas_alambron_suave
19,6221783,19.2296,18.9075,34.0,1,WAY2310340L000,sgdas_alambron_suave
