,bulto,long_punta,long_cola,diametro,hilo,material,calidad
0,6320250,19.5332,18.7149,17.0,2,WAR1124170L000,resulfurado_Pb
1,6320252,19.3868,18.6912,17.0,2,WAR1124170L000,resulfurado_Pb
2,6320254,19.3297,18.7033,17.0,2,WAR1124170L000,resulfurado_Pb
3,6320256,19.4473,18.6855,17.0,2,WAR1124170L000,resulfurado_Pb
4,6320258,19.5779,18.6818,17.0,2,WAR1124170L000,resulfurado_Pb
5,6320260,19.5132,18.6738,17.0,2,WAR1124170L000,resulfurado_Pb
6,6320262,19.3888,18.6738,17.0,2,WAR1124170L000,resulfurado_Pb
7,6320264,19.2702,18.6797,17.0,2,WAR1124170L000,resulfurado_Pb
8,6320266,19.4695,18.7298,17.0,2,WAR1124170L000,resulfurado_Pb
9,6320268,19.4515,18.6818,17.0,2,WAR1124170L000,resulfurado_Pb
10,6320270,19.3985,18.7201,17.0,2,WAR1124170L000,resulfurado_Pb
11,6320272,19.5108,18.672,17.0,2,WAR1124170L000,resulfurado_Pb
12,6320274,19.5768,18.7191,17.0,2,WAR1124170L000,resulfurado_Pb
13,6320276,19.3958,18.6523,17.0,2,WAR12G0170L000,resulfurado_Pb
14,6320278,19.422,18.7324,17.0,2,WAR12G0170L000,resulfurado_Pb
15,6320280,19.459,18.6939,17.0,2,WAR12G0170L000,resulfurado_Pb
16,6320282,19.246,18.7347,17.0,2,WAR12G0170L000,resulfurado_Pb
17,6320284,19.5627,18.7972,17.0,2,WAR12G0170L000,resulfurado_Pb
18,6320286,19.5566,18.7253,17.0,2,WAR12G0170L000,resulfurado_Pb
