,bulto,long_punta,long_cola,diametro,hilo,material,calidad
0,6328679,19.35,19.1723,26.0,1,WAC1576260N000,F1_calibradores
1,6328680,19.55,19.1619,26.0,1,WAC1576260N000,F1_calibradores
2,6328681,19.4127,19.1688,26.0,1,WAC1576260N000,F1_calibradores
3,6328682,19.5076,19.2004,26.0,1,WAC1576260N000,F1_calibradores
4,6328683,19.6054,19.0996,26.0,1,WAC1576260L000,F1_calibradores
5,6328684,19.5717,19.1249,26.0,1,WAC1576260L000,F1_calibradores
6,6328685,19.2898,19.0987,26.0,1,WAC1576260L000,F1_calibradores
7,6328686,19.4608,19.1621,26.0,1,WAC1576260L000,F1_calibradores
8,6328687,19.3636,19.1011,26.0,1,WAC1576260L000,F1_calibradores
9,6328688,19.3883,19.1490,26.0,1,WAC1576260L000,F1_calibradores
10,6328689,19.3938,19.1512,26.0,1,WAC1576260L000,F1_calibradores
11,6328690,19.4930,19.1896,26.0,1,WAC1576260L000,F1_calibradores
12,6328691,19.3645,19.1332,26.0,1,WAC1576260L000,F1_calibradores
13,6328692,19.2364,19.1391,26.0,1,WAC1576260L000,F1_calibradores
14,6328693,19.3405,19.1614,26.0,1,WAC1576260L000,F1_calibradores
15,6328694,19.4561,19.1232,26.0,1,WAC1576260L000,F1_calibradores
16,6328695,19.5014,19.1282,26.0,1,WAC1576260L000,F1_calibradores
17,6328696,19.4537,19.1292,26.0,1,WAC1576260L000,F1_calibradores
18,6328697,19.5898,19.1337,26.0,1,WAC1576260L000,F1_calibradores
19,6328698,19.3693,19.1802,26.0,1,WAC1576260L000,F1_calibradores
20,6328699,19.3148,19.1274,26.0,1,WAC1576260L000,F1_calibradores
