,bulto,long_punta,long_cola,diametro,hilo,material,calidad
0,6211341,19.0819,18.9171,44.0,1,WAR1129440L000,resulfurado_Pb
1,6211342,18.9537,18.9737,44.0,1,WAR1129440L000,resulfurado_Pb
2,6211343,19.2239,18.988,44.0,1,WAR1283440L000,resulfurado_Pb
3,6211344,19.2258,19.0069,44.0,1,WAR1283440L000,resulfurado_Pb
4,6211345,19.2654,18.9619,44.0,1,WAR1283440L000,resulfurado_Pb
5,6211346,19.1386,18.9583,44.0,1,WAR1283440L000,resulfurado_Pb
6,6211347,19.0183,18.9676,44.0,1,WAR1283440L000,resulfurado_Pb
7,6211348,19.0246,18.962,44.0,1,WAR1283440L000,resulfurado_Pb
8,6211349,19.2677,18.9435,44.0,1,WAR1283440L000,resulfurado_Pb
9,6211350,19.1556,18.9775,44.0,1,WAR1283440L000,resulfurado_Pb
10,6211351,19.2287,18.9755,44.0,1,WAR1283440L000,resulfurado_Pb
11,6211352,19.0413,18.9686,44.0,1,WAR1283440L000,resulfurado_Pb
12,6211353,19.1945,18.9732,44.0,1,WAR1283440L000,resulfurado_Pb
13,6211354,19.0127,19.0049,44.0,1,WAR1283440L000,resulfurado_Pb
14,6211355,19.1305,18.9515,44.0,1,WAR1283440L000,resulfurado_Pb
15,6211356,19.22,18.9716,44.0,1,WAR1283440L000,resulfurado_Pb
16,6211357,19.1593,18.9848,44.0,1,WAR1283440L000,resulfurado_Pb
17,6211358,19.1222,18.9253,44.0,1,WAR1283440L000,resulfurado_Pb
