,bulto,long_punta,long_cola,diametro,hilo,material,calidad
0,6328850,19.5876,19.2211,26.0,2,WAJ5513260L000,aleado_muelles
1,6328851,19.65,19.2518,26.0,2,WAJ5513260L000,aleado_muelles
2,6328852,19.4939,19.2382,26.0,2,WAJ5513260L000,aleado_muelles
3,6328853,19.5994,19.2866,26.0,2,WAJ5513260L000,aleado_muelles
4,6328854,19.65,19.2282,26.0,2,WAJ5513260L000,aleado_muelles
5,6328855,19.5440,19.2213,26.0,2,WAJ5513260L000,aleado_muelles
6,6328856,19.4065,19.1718,26.0,2,WAJ5513260L000,aleado_muelles
7,6328857,19.65,19.2781,26.0,2,WAJ5513260L000,aleado_muelles
8,6328858,19.65,19.2312,26.0,2,WAJ5513260L000,aleado_muelles
9,6328859,19.5072,19.2221,26.0,2,WAJ5513260L000,aleado_muelles
10,6328860,19.5950,19.2397,26.0,2,WAJ5513260L000,aleado_muelles
11,6328861,19.5995,19.1989,26.0,2,WAJ5513260L000,aleado_muelles
12,6328862,19.65,19.1710,26.0,2,WAJ5513260L000,aleado_muelles
13,6328863,19.5457,19.1771,26.0,2,WAJ5513260L000,aleado_muelles
14,6328864,19.6498,19.1782,26.0,2,WAJ5513260L000,aleado_muelles
15,6328865,19.5475,19.1898,26.0,2,WAJ5513260L000,aleado_muelles
16,6328866,19.6347,19.1866,26.0,2,WAJ5513260L000,aleado_muelles
17,6328867,19.65,19.1799,26.0,2,WAJ5513260L000,aleado_muelles
18,6328868,19.5950,19.1718,26.0,2,WAJ5513260L000,aleado_muelles
19,6328869,19.4479,19.1808,26.0,2,WAJ5513260L000,aleado_muelles
20,6328870,19.4233,19.1795,26.0,2,WAJ5513260L000,aleado_muelles
