,bulto,long_punta,long_cola,diametro,hilo,material,calidad
0,6329508,19.3423,18.8512,12.0,1,WAN81RB120L000,microaleado
1,6329510,19.3647,18.8795,12.0,1,WAN81RB120L000,microaleado
2,6329512,19.3031,18.8896,12.0,1,WAN81RB120L000,microaleado
3,6329514,19.5255,18.8435,12.0,1,WAN81RB120L000,microaleado
4,6329516,19.314,18.8889,12.0,1,WAN81RB120L000,microaleado
5,6329518,19.3644,18.8453,12.0,1,WAN81RB120L000,microaleado
6,6329520,19.5175,18.8776,12.0,1,WAN81RB120L000,microaleado
7,6329522,19.3659,18.8401,12.0,1,WAN81RB120L000,microaleado
8,6329524,19.4936,18.8583,12.0,1,WAN81RB120L000,microaleado
9,6329526,19.5389,18.882,12.0,1,WAN81RB120L000,microaleado
10,6329528,19.2347,18.8889,12.0,1,WAN81RB120L000,microaleado
11,6329530,19.3479,18.8487,12.0,1,WAN81RB120L000,microaleado
12,6329532,19.3858,18.8516,12.0,1,WAN81RB120L000,microaleado
13,6329534,19.3912,18.8499,12.0,1,WAN81RB120L000,microaleado
14,6329536,19.2512,18.8455,12.0,1,WAN81RB120L000,microaleado
15,6329538,19.5275,18.8471,12.0,1,WAN81RB120L000,microaleado
16,6329540,19.4602,18.8892,12.0,1,WAN81RB120L000,microaleado
17,6329542,19.3613,18.8493,12.0,1,WAN81RB120L000,microaleado
18,6329544,19.2964,18.85,12.0,1,WAN81RB120L000,microaleado
19,6329546,19.3779,18.8421,12.0,1,WAN81RB120L000,microaleado
