,bulto,long_punta,long_cola,diametro,hilo,material,calidad
0,6321728,19.3375,18.9706,5.5,1,WAT7060055N000,neumatico
1,6321730,19.275,18.9816,5.5,1,WAT7060055N000,neumatico
2,6321732,19.3701,18.8892,5.5,1,WAT7060055N000,neumatico
3,6321734,19.1984,18.8752,5.5,1,WAT7060055N000,neumatico
4,6321738,19.4179,18.8471,5.5,1,WAT7060055N000,neumatico
5,6321740,19.4428,18.878,5.5,1,WAT7060055N000,neumatico
6,6321742,19.4921,18.9889,5.5,1,WAT7060055N000,neumatico
7,6321744,19.4964,18.8105,5.5,1,WAT7060055N000,neumatico
8,6321748,19.4097,18.8453,5.5,1,WAT7060055N000,neumatico
9,6321750,19.3004,18.8704,5.5,1,WAT7060055N000,neumatico
10,6321752,19.65,18.8569,5.5,1,WAT7060055N000,neumatico
11,6321756,19.2467,18.8604,5.5,1,WAT7060055N000,neumatico
12,6321758,19.2576,18.8751,5.5,1,WAT7060055N000,neumatico
13,6321760,19.3094,18.9253,5.5,1,WAT7060055N000,neumatico
14,6321762,19.4839,18.8962,5.5,1,WAT7060055N000,neumatico
15,6321764,19.3831,18.8902,5.5,1,WAT7060055N000,neumatico
16,6321766,19.3758,18.8728,5.5,1,WAT7060055N000,neumatico
17,6321768,19.3798,18.8845,5.5,1,WAT7060055N000,neumatico
