tiempo,avance,velocidad,inlet_temp,IND_1,IND_2,IND_3,IND_4,outlet_temp,posicion
0.9,1.0,1.0,965.3643,0.0,0.0,0.0,545.3,0.0,1.0
1.8,1.0,1.1111111111111112,1005.0044444444445,0.0,0.0,0.0,555.6666666666666,0.0,2.0
2.7,0.75,0.8333333333333334,1010.1366666666667,163.66666666666666,0.0,0.0,565.7777777777778,0.0,2.75
3.6,1.0,1.1111111111111107,1011.9722222222222,339.6666666666667,0.0,0.0,567.0,0.0,3.75
4.5,1.0,1.1111111111111118,1012.2255555555556,338.3333333333333,0.0,0.0,574.8888888888889,0.0,4.75
5.4,0.7510000000000003,0.8344444444444444,1014.6766666666667,327.1111111111111,52.77777777777778,0.0,584.2222222222222,0.0,5.501
6.3,0.9989999999999997,1.1099999999999992,1008.7955555555556,325.6666666666667,379.44444444444446,0.0,587.0,0.0,6.5
7.2,0.75,0.8333333333333338,1008.5311111111112,326.0,396.6666666666667,0.0,597.3333333333334,0.0,7.25
8.1,1.0,1.1111111111111118,1008.1077777777778,326.3333333333333,385.44444444444446,0.0,611.1111111111111,0.0,8.25
9.0,1.0,1.1111111111111107,1005.2811111111112,327.3333333333333,375.22222222222223,0.0,625.6666666666666,0.0,9.25
9.9,0.6125000000000007,0.680555555555556,1005.7844444444446,456.1111111111111,350.6666666666667,0.0,642.8888888888889,0.0,9.8625
10.8,0.35130000000000017,0.39033333333333337,1001.7466666666668,562.5555555555555,344.0,0.0,677.6666666666666,0.0,10.2138
11.7,0.152099999999999,0.16899999999999885,1001.5388888888888,562.4444444444445,343.0,98.88888888888889,701.7777777777778,0.0,10.3659
12.6,0.24009999999999998,0.26677777777777817,1003.9044444444444,549.4444444444445,342.1111111111111,367.77777777777777,702.2222222222222,0.0,10.606
13.5,0.48820000000000086,0.5424444444444452,1003.5377777777778,538.8888888888889,342.8888888888889,381.77777777777777,692.7777777777778,0.0,11.0942
