tiempo,avance,velocidad,inlet_temp,IND_1,IND_2,IND_3,IND_4,outlet_temp,posicion
1.0,1.001,0.9099999999999998,1009.4494545454545,0.0,0.0,0.0,652.1818181818181,0.0,1.001
2.0,0.9990000000000001,0.9990000000000001,1042.753,0.0,0.0,0.0,638.5,0.0,2.0
3.0,1.0,1.0,1048.941,115.1,0.0,0.0,610.7,0.0,3.0
4.0,1.0,1.0000000000000004,1043.325,219.4,0.0,0.0,590.5,0.0,4.0
5.0,1.0,1.0,1050.7779999999998,222.3,0.0,0.0,582.8,0.0,5.0
6.0,1.0,1.0,1046.8310000000001,222.6,51.0,0.0,579.3,0.0,6.0
7.0,1.0,1.0,1047.9850000000001,224.2,191.7,0.0,573.0,0.0,7.0
8.0,1.0009999999999994,1.0009999999999994,1058.375,224.0,205.8,0.0,554.5,0.0,8.001
9.0,0.9990000000000006,0.9990000000000006,1050.513,349.6,217.8,0.0,526.6,0.0,9.0
10.0,0.875,0.875,1062.673,597.6,218.3,0.0,502.0,0.0,9.875
11.0,0.5250000000000004,0.5250000000000004,1060.3419999999999,582.7,216.7,117.8,482.0,0.0,10.4
12.0,0.5,0.5,1065.0759999999998,557.5,277.8,238.4,466.4,0.0,10.9
13.0,0.5,0.5,1070.1460000000002,539.4,550.9,251.8,462.3,0.0,11.4
14.0,0.5,0.5,1060.42,501.0,568.7,255.3,462.1,0.0,11.9
15.0,0.5,0.5,1055.5149999999999,477.5,531.0,263.2,462.2,0.0,12.4
16.0,0.5,0.4999999999999991,1049.9869999999999,477.1,503.8,267.5,450.4,0.0,12.9
17.0,0.5,0.5,1065.4380000000003,477.7,414.0,303.8,429.5,0.0,13.4
18.0,0.5,0.5,1066.179,463.9,55.1,651.8,397.5,0.0,13.9
19.0,0.5,0.5,1059.912,467.6,0.0,759.4,382.3,0.0,14.4
20.0,0.41249999999999964,0.41249999999999964,1057.4140000000002,473.3,0.0,738.9,397.5,0.0,14.8125
21.0,0.16999999999999993,0.16999999999999993,1047.2000000000003,474.5,0.0,637.7,427.6,0.0,14.9825
22.0,0.1700999999999997,0.1700999999999997,1053.4869999999999,472.2,0.0,535.6,512.9,0.0,15.1526
23.0,0.1698000000000004,0.1698000000000004,1053.6009999999999,468.8,0.0,492.9,697.1,0.0,15.3224
24.0,0.1698000000000004,0.1698000000000004,1062.6129999999998,469.1,0.0,465.6,934.6,0.0,15.4922
25.0,0.16969999999999885,0.16969999999999885,1062.508,474.3,0.0,190.0,969.4,0.0,15.6619
26.0,0.16960000000000086,0.16960000000000086,1062.0580000000002,483.0,0.0,3.4,986.1,0.0,15.8315
27.0,0.16960000000000086,0.16960000000000086,1062.65,395.6,0.0,0.0,963.9,0.0,16.0011
28.0,0.16959999999999908,0.16959999999999908,1058.782,58.2,0.0,0.0,907.9,0.0,16.1707
29.0,0.16959999999999908,0.16959999999999908,1056.109,0.0,0.0,0.0,857.4,0.0,16.3403
30.0,0.16920000000000002,0.16920000000000002,1051.2850000000003,0.0,0.0,0.0,845.4,0.0,16.5095
31.0,0.16939999999999955,0.16939999999999955,1047.6740000000002,0.0,0.0,0.0,882.7,0.0,16.6789
32.0,0.16910000000000025,0.16910000000000025,1044.779,0.0,0.0,0.0,932.1,0.0,16.848
33.0,0.16890000000000072,0.16890000000000072,1036.859,0.0,0.0,0.0,983.6,0.0,17.0169
34.0,0.16890000000000072,0.16890000000000072,1031.98,0.0,0.0,0.0,992.7,0.0,17.1858
35.0,0.16939999999999955,0.16939999999999955,1031.372,0.0,0.0,0.0,994.7,0.0,17.3552
36.0,0.16969999999999885,0.16969999999999885,1040.2069999999999,0.0,0.0,0.0,991.2,0.0,17.5249
37.0,0.16980000000000217,0.16980000000000217,1043.761,0.0,0.0,0.0,993.6,0.0,17.6947
38.0,0.1701999999999977,0.1701999999999977,1043.898,0.0,0.0,0.0,999.0,0.0,17.8649
39.0,0.1706000000000003,0.1706000000000003,1047.6190000000001,0.0,0.0,0.0,998.5,0.0,18.0355
40.0,0.17079999999999984,0.17079999999999984,1048.389,0.0,0.0,0.0,997.7,0.0,18.2063
41.0,0.17079999999999984,0.17079999999999984,1045.928,0.0,0.0,0.0,961.9,0.0,18.3771
42.0,0.17079999999999984,0.17079999999999984,1044.444,0.0,0.0,0.0,789.2,0.0,18.5479
43.0,0.17090000000000316,0.17090000000000316,1040.741,0.0,0.0,0.0,603.6,700.0,18.7188
44.0,0.17109999999999914,0.17109999999999914,1041.938,0.0,0.0,0.0,562.7,700.0,18.8899
45.0,0.17129999999999868,0.17129999999999868,1043.398,0.0,0.0,0.0,574.4,700.0,19.0612
46.0,0.17150000000000176,0.17150000000000176,1044.227,0.0,0.0,0.0,580.1,705.5500000000001,19.2327
47.0,0.17159999999999798,0.17159999999999798,1040.3519999999999,0.0,0.0,0.0,577.9,743.9709,19.4043
48.0,0.18118851709089157,0.18118851709089157,0.0,0.0,0.0,0.0,579.8,1083.9370000000004,19.58548851709089
49.0,0.17273564636362693,0.17273564636362693,0.0,0.0,0.0,0.0,579.6,1103.226,19.758224163454518
50.0,0.17273564636361272,0.17273564636361272,0.0,0.0,0.0,0.0,547.3,1095.5929999999998,19.93095980981813
51.0,0.17273564636362693,0.17273564636362693,0.0,0.0,0.0,0.0,216.9,1104.716,20.103695456181757
52.0,0.16525960106491766,0.16525960106491766,0.0,0.0,0.0,0.0,0.4,1105.412,20.268955057246675
53.0,0.15351960993505642,0.15351960993505642,0.0,0.0,0.0,0.0,0.0,1091.9990000000003,20.42247466718173
54.0,0.17164800000000469,0.17164800000000469,0.0,0.0,0.0,0.0,0.0,1098.877,20.594122667181736
55.0,0.17160699999999451,0.17160699999999451,0.0,0.0,0.0,0.0,0.0,1102.9890000000003,20.76572966718173
56.0,0.17105000000000103,0.17105000000000103,0.0,0.0,0.0,0.0,0.0,1093.4689999999998,20.93677966718173
57.0,0.17009499999999989,0.17009499999999989,0.0,0.0,0.0,0.0,0.0,1091.398,21.10687466718173
58.0,0.16999000000000564,0.16999000000000564,0.0,0.0,0.0,0.0,0.0,1079.6680000000001,21.276864667181737
59.0,0.17009999999999437,0.17009999999999437,0.0,0.0,0.0,0.0,0.0,1093.88,21.44696466718173
60.0,0.1701599999999992,0.1701599999999992,0.0,0.0,0.0,0.0,0.0,1093.0169999999998,21.61712466718173
61.0,0.17028000000000532,0.17028000000000532,0.0,0.0,0.0,0.0,0.0,1096.0819999999999,21.787404667181736
62.0,0.16992000000000118,0.16992000000000118,0.0,0.0,0.0,0.0,0.0,1079.5970000000002,21.957324667181737
63.0,0.16983999999999355,0.16983999999999355,0.0,0.0,0.0,0.0,0.0,1083.297,22.12716466718173
64.0,0.1695400000000049,0.1695400000000061,0.0,0.0,0.0,0.0,0.0,1082.431,22.296704667181736
65.0,0.1694400000000016,0.1694400000000016,0.0,0.0,0.0,0.0,0.0,1074.9010000000003,22.466144667181737
66.0,0.1694499999999941,0.1694499999999941,0.0,0.0,0.0,0.0,0.0,1067.002,22.63559466718173
67.0,0.16944000000000514,0.16944000000000514,0.0,0.0,0.0,0.0,0.0,1066.4150000000002,22.805034667181737
68.0,0.16943999999999448,0.16943999999999448,0.0,0.0,0.0,0.0,0.0,1062.9560000000001,22.97447466718173
69.0,0.1693800000000003,0.1693800000000003,0.0,0.0,0.0,0.0,0.0,1064.72,23.14385466718173
70.0,0.16929999999999978,0.16929999999999978,0.0,0.0,0.0,0.0,141.6,1059.6779999999999,23.31315466718173
71.0,0.1693099999999994,0.1693099999999994,0.0,0.0,0.0,0.0,337.6,1059.437,23.48246466718173
72.0,0.169350000000005,0.169350000000005,0.0,0.0,0.0,0.0,340.8,1057.5570000000002,23.651814667181736
73.0,0.16938999999999638,0.16938999999999638,0.0,0.0,0.0,0.0,341.0,1064.1699999999996,23.821204667181732
74.0,0.1694199999999988,0.1694199999999988,0.0,0.0,0.0,0.0,344.6,1064.377,23.99062466718173
75.0,0.16943000000000552,0.16943000000000552,0.0,0.0,0.0,0.0,344.7,1061.0829999999999,24.160054667181736
76.0,0.1694500000000012,0.1694500000000012,0.0,0.0,0.0,0.0,402.6,1056.337,24.329504667181737
77.0,0.16961999999999833,0.16961999999999833,0.0,0.0,0.0,0.0,639.7,1054.661,24.499124667181736
78.0,0.16929999999999978,0.16929999999999978,0.0,0.0,0.0,0.0,641.8,1048.1060000000002,24.668424667181736
79.0,0.16948000000000008,0.16948000000000008,0.0,0.0,0.0,0.0,623.2,1029.5870000000002,24.837904667181736
80.0,0.16948000000000008,0.16948000000000008,0.0,0.0,0.0,0.0,598.1,1028.486,25.007384667181736
81.0,0.16948999999999614,0.16948999999999614,0.0,0.0,0.0,0.0,583.7,1046.4560000000001,25.176874667181732
82.0,0.16944000000000514,0.16944000000000514,0.0,0.0,0.0,0.0,579.0,1047.2130000000002,25.346314667181737
83.0,0.16940999999999917,0.16940999999999917,0.0,0.0,0.0,0.0,582.8,1051.365,25.515724667181736
84.0,0.16924999999999457,0.16924999999999457,0.0,0.0,0.0,0.0,581.0,1061.886,25.68497466718173
85.0,0.16891999999999996,0.16891999999999996,0.0,0.0,0.0,0.0,582.2,1060.7800000000002,25.85389466718173
86.0,0.16848000000000596,0.16848000000000596,0.0,0.0,0.0,0.0,581.1,1062.363,26.022374667181737
87.0,0.16793999999999443,0.16793999999999443,0.0,0.0,0.0,0.0,580.1,1067.911,26.19031466718173
88.0,0.16727000000000558,0.16727000000000558,0.0,0.0,0.0,0.0,578.8,1070.203,26.357584667181737
89.0,0.16677999999999926,0.16677999999999926,0.0,0.0,0.0,0.0,582.3,1064.4329999999998,26.524364667181736
90.0,0.1662199999999956,0.1662199999999956,0.0,0.0,0.0,0.0,582.2,1064.482,26.69058466718173
91.0,0.165690000000005,0.165690000000005,0.0,0.0,0.0,0.0,581.4,1059.735,26.856274667181737
92.0,0.1651600000000002,0.1651600000000002,0.0,0.0,0.0,0.0,580.0,1058.6570000000002,27.021434667181737
93.0,0.1646099999999997,0.1646099999999997,0.0,0.0,0.0,0.0,578.3,1050.1,27.186044667181736
94.0,0.16441000000000017,0.16441000000000017,0.0,0.0,0.0,0.0,577.0,1059.3740000000003,27.350454667181737
95.0,0.165859999999995,0.165859999999995,0.0,0.0,0.0,0.0,578.1,1066.4059999999997,27.51631466718173
96.0,0.1671000000000049,0.1671000000000049,0.0,0.0,0.0,0.0,577.0,1067.149,27.683414667181736
97.0,0.16732999999999976,0.16732999999999976,0.0,0.0,0.0,0.0,579.1,1066.4599999999998,27.850744667181736
98.0,0.16769999999999996,0.16769999999999996,0.0,0.0,0.0,0.0,580.9,1070.9270000000001,28.018444667181736
99.0,0.1675799999999974,0.1675799999999974,0.0,0.0,0.0,0.0,580.1,1078.523,28.186024667181734
100.0,0.16752000000000322,0.16752000000000322,0.0,0.0,0.0,0.0,579.4,1082.9129999999998,28.353544667181737
101.0,0.16762999999999906,0.16762999999999906,0.0,0.0,0.0,0.0,578.6,1084.8359999999998,28.521174667181736
102.0,0.16723999999999606,0.16723999999999606,0.0,0.0,0.0,0.0,579.8,1088.1090000000004,28.688414667181732
103.0,0.16732999999999976,0.16732999999999976,0.0,0.0,0.0,0.0,578.9,1085.2069999999999,28.85574466718173
104.0,0.16727000000000203,0.16727000000000203,0.0,0.0,0.0,0.0,582.2,1077.6259999999997,29.023014667181734
105.0,0.16658000000000328,0.16658000000000328,0.0,0.0,0.0,0.0,581.7,1071.2169999999999,29.189594667181737
106.0,0.16574999999999918,0.16574999999999918,0.0,0.0,0.0,0.0,581.0,1065.5039999999997,29.355344667181736
107.0,0.16573999999999955,0.16573999999999955,0.0,0.0,0.0,0.0,579.1,1063.935,29.521084667181736
108.0,0.16591999999999985,0.16591999999999985,0.0,0.0,0.0,0.0,580.1,1079.471,29.687004667181736
109.0,0.16558000000000206,0.16558000000000206,0.0,0.0,0.0,0.0,506.4,1086.341,29.852584667181738
110.0,0.16574999999999562,0.16574999999999562,0.0,0.0,0.0,0.0,127.2,1083.6460000000002,30.018334667181733
111.0,0.16575000000000273,0.16575000000000273,0.0,0.0,0.0,0.0,0.0,1086.5759999999998,30.184084667181736
112.0,0.1657200000000003,0.1657200000000003,0.0,0.0,0.0,0.0,0.0,1083.0639999999999,30.349804667181736
113.0,0.16579999999999728,0.16579999999999728,0.0,0.0,0.0,0.0,0.0,1082.7830000000001,30.515604667181734
114.0,0.16569999999999752,0.16569999999999752,0.0,0.0,0.0,0.0,0.0,1075.259,30.68130466718173
115.0,0.16580000000000084,0.16580000000000084,0.0,0.0,0.0,0.0,0.0,1067.387,30.847104667181732
116.0,0.16570000000000107,0.16570000000000107,0.0,0.0,0.0,0.0,0.0,1062.4810000000002,31.012804667181733
117.0,0.1659000000000006,0.1659000000000006,0.0,0.0,0.0,0.0,0.0,1058.984,31.178704667181734
118.0,0.16520000000000223,0.16520000000000223,0.0,0.0,0.0,0.0,0.0,1057.059,31.343904667181736
119.0,0.16540000000000177,0.16540000000000177,0.0,0.0,0.0,0.0,0.0,1052.9280000000003,31.509304667181738
120.0,0.1655999999999942,0.1655999999999942,0.0,0.0,0.0,0.0,0.0,1050.0040000000001,31.674904667181732
121.0,0.16600000000000392,0.16600000000000392,0.0,0.0,0.0,0.0,0.0,1057.5700000000002,31.840904667181736
122.0,0.16630000000000322,0.16630000000000322,0.0,0.0,0.0,0.0,0.0,1066.2280000000003,32.00720466718174
123.0,0.16599999999999682,0.16599999999999682,0.0,0.0,0.0,0.0,0.0,1066.4240000000002,32.173204667181736
124.0,0.165300000000002,0.165300000000002,0.0,0.0,0.0,0.0,0.0,1065.643,32.33850466718174
125.0,0.16509999999999536,0.16509999999999536,0.0,0.0,0.0,0.0,0.0,1060.0030000000002,32.50360466718173
126.0,0.16570000000000107,0.16570000000000107,0.0,0.0,0.0,0.0,231.3,1055.0,32.669304667181734
127.0,0.16620000000000346,0.16620000000000346,0.0,0.0,0.0,0.0,325.0,1051.261,32.83550466718174
128.0,0.1664999999999992,0.1664999999999992,0.0,0.0,0.0,0.0,325.5,1048.4190000000003,33.00200466718174
129.0,0.16669999999999874,0.16669999999999874,0.0,0.0,0.0,0.0,325.7,1047.002,33.168704667181736
130.0,0.16720000000000113,0.16720000000000113,0.0,0.0,0.0,0.0,326.0,1049.088,33.33590466718174
131.0,0.16749999999999687,0.16749999999999687,0.0,0.0,0.0,0.0,326.0,1049.5279999999998,33.503404667181734
132.0,0.16779999999999973,0.16779999999999973,0.0,0.0,0.0,0.0,478.9,1041.0349999999999,33.67120466718173
133.0,0.1682000000000059,0.1682000000000059,0.0,0.0,0.0,0.0,661.4,1035.417,33.83940466718174
134.0,0.16859999999999786,0.16859999999999786,0.0,0.0,0.0,0.0,641.7,1036.7530000000002,34.00800466718174
135.0,0.16899999999999693,0.16899999999999693,0.0,13.5,0.0,0.0,613.8,1045.645,34.177004667181734
