posicion,temperatura
0.0,962.4859362
0.09798994975,968.3587342
0.1959798995,969.5982358
0.2939698492,970.0044733
0.391959799,970.1288163
0.4899497487,970.4813392
0.5879396985,970.9000415
0.6859296482,969.3829993
0.783919598,968.0097415
0.8819095477,966.3375657
0.9798994975,962.9880768
1.077889447,962.353333
1.175879397,957.8609491
1.273869347,955.4255212
1.371859296,953.3336347
1.469849246,950.8085147
1.567839196,948.3781973
1.665829146,946.5497584
1.763819095,946.959788
1.861809045,946.2610138
1.959798995,947.5996532
2.057788945,948.1482466
2.155778894,948.1440282
2.253768844,947.9875957
2.351758794,944.1662147
2.449748744,944.1529198
2.547738693,940.4288754
2.645728643,940.2299114
2.743718593,935.0846719
2.841708543,930.8028949
2.939698492,928.3936102
3.037688442,926.3325657
3.135678392,923.6716873
3.233668342,920.2418287
3.331658291,921.106265
3.429648241,920.3361177
3.527638191,919.9624923
3.625628141,919.0365227
3.72361809,918.2724657
3.82160804,918.2467247
3.91959799,917.6461634
4.01758794,919.5603984
4.115577889,916.085636
4.213567839,915.5320667
4.311557789,915.0434535
4.409547739,910.6570167
4.507537688,908.9833885
4.605527638,907.8009802
4.703517588,907.8037398
4.801507538,906.6947795
4.899497487,906.6379797
4.997487437,907.7092929
5.095477387,906.2682248
5.193467337,906.1001425
5.291457286,907.0849647
5.389447236,907.3963824
5.487437186,909.3484053
5.585427136,911.0579091
5.683417085,914.449909
5.781407035,914.3748547
5.879396985,915.41857
5.977386935,915.7371416
6.075376884,914.1223459
6.173366834,916.3220319
6.271356784,917.8127952
6.369346734,919.4961063
6.467336683,918.497229
6.565326633,920.3628651
6.663316583,921.2339837
6.761306533,919.2823546
6.859296482,920.2492913
6.957286432,921.1908063
7.055276382,922.2846428
7.153266332,924.5885069
7.251256281,927.5088721
7.349246231,928.3701373
7.447236181,928.8984494
7.545226131,930.4069502
7.64321608,929.3993708
7.74120603,928.9078213
7.83919598,930.7395108
7.93718593,932.4742165
8.035175879,933.2306748
8.133165829,934.434222
8.231155779,935.0094841
8.329145729,935.4244588
8.427135678,935.3656111
8.525125628,937.5682977
8.623115578,937.3560985
8.721105528,938.3313511
8.819095477,940.6308824
8.917085427,940.4733736
9.015075377,942.7748897
9.113065327,941.7269675
9.211055276,940.9974789
9.309045226,939.5540271
9.407035176,941.3219308
9.505025126,942.8434082
9.603015075,940.7404697
9.701005025,940.5853409
9.798994975,940.1871955
9.896984925,942.1898207
9.994974874,943.3747878
10.09296482,944.1777412
10.19095477,942.7253756
10.28894472,942.1033624
10.38693467,943.5416997
10.48492462,941.2014928
10.58291457,942.1650012
10.68090452,939.6964745
10.77889447,938.822674
10.87688442,936.3494075
10.97487437,935.1622737
11.07286432,933.9277418
11.17085427,928.7752374
11.26884422,927.6268603
11.36683417,926.5766265
11.46482412,926.3629663
11.56281407,926.9451548
11.66080402,925.3558258
11.75879397,924.4909534
11.85678392,923.4923827
11.95477387,922.1365311
12.05276382,923.1884519
12.15075377,920.5022634
12.24874372,920.5005005
12.34673367,919.6024089
12.44472362,916.6002494
12.54271357,916.4177617
12.64070352,912.8603644
12.73869347,910.5912
12.83668342,907.7752158
12.93467337,907.3560141
13.03266332,908.0434307
13.13065327,906.4183571
13.22864322,907.7247878
13.32663317,907.0079102
13.42462312,907.1755553
13.52261307,907.2916051
13.62060302,907.42705
13.71859296,906.1375617
13.81658291,906.762364
13.91457286,906.8535402
14.01256281,906.4847398
14.11055276,904.4193936
14.20854271,903.5697307
14.30653266,901.5826658
14.40452261,899.1008811
14.50251256,899.3347863
14.60050251,897.1405118
14.69849246,897.8464823
14.79648241,897.5723487
14.89447236,897.5639411
14.99246231,898.7639978
15.09045226,897.483229
15.18844221,899.3968901
15.28643216,898.4935803
15.38442211,899.7885167
15.48241206,900.4650397
15.58040201,900.8197779
15.67839196,901.5471084
15.77638191,901.8240115
15.87437186,902.7940634
15.97236181,902.6189868
16.07035176,903.0818289
16.16834171,903.3185473
16.26633166,904.4984905
16.36432161,905.7037894
16.46231156,905.8611803
16.56030151,907.5351693
16.65829146,907.829687
16.75628141,909.0475808
16.85427136,909.01224
16.95226131,909.7118064
17.05025126,910.2098672
17.14824121,910.5887152
17.24623116,911.232045
17.34422111,911.2300558
17.44221106,911.792319
17.54020101,912.5486748
17.63819095,911.8254644
17.7361809,913.3333789
17.83417085,913.3558283
17.9321608,914.8738545
18.03015075,915.4685806
18.1281407,916.0995878
18.22613065,918.746138
18.3241206,918.3071224
18.42211055,920.9811656
18.5201005,919.7386992
18.61809045,921.3783828
18.7160804,922.7784888
18.81407035,921.2012537
18.9120603,923.3708654
19.01005025,921.6351491
19.1080402,922.7052179
19.20603015,921.9744235
19.3040201,921.2744683
19.40201005,921.351457
19.5,916.6695937
